"run","tick","Harmony","EquilibriumTime"
4,22.0,0.01371815009476134,-1.0
4,23.0,0.014587218814219819,-1.0
4,24.0,0.015445743355727522,-1.0
4,25.0,0.016291493200199427,-1.0
4,26.0,0.017122521061440268,-1.0
4,27.0,0.01793714528972061,-1.0
4,28.0,0.018733931990950248,-1.0
4,29.0,0.01951167713927835,-1.0
4,30.0,0.020269388906493706,-1.0
4,31.0,0.021006270385751723,-1.0
4,32.0,0.021721702848426283,-1.0
4,33.0,0.02241522964016233,-1.0
4,34.0,0.023086540794617423,-1.0
4,35.0,0.023735458420213365,-1.0
4,36.0,0.02436192289586871,-1.0
4,37.0,0.0249659798956243,-1.0
4,38.0,0.025547768248849696,-1.0
4,39.0,0.02610750863192317,-1.0
4,40.0,0.026645493078559956,-1.0
4,41.0,0.027162075289012214,-1.0
4,42.0,0.02765766171291344,-1.0
4,43.0,0.02813270337635696,-1.0
4,44.0,0.02858768842068693,-1.0
4,45.0,0.029023135318269208,-1.0
4,46.0,0.029439586729056427,-1.0
4,47.0,0.029837603960941733,-1.0
4,48.0,0.030217761996605988,-1.0
4,49.0,0.030580645049712377,-1.0
4,50.0,0.030926842613814766,-1.0
4,51.0,0.03125694596815465,-1.0
4,52.0,0.03157154510557009,-1.0
4,53.0,0.03187122604897718,-1.0
4,54.0,0.032156568524269485,-1.0
4,55.0,0.03242814395897415,-1.0
4,56.0,0.032686513777573104,-1.0
4,57.0,0.03293222796601648,-1.0
4,58.0,0.033165823879596885,-1.0
4,59.0,0.03338782526999851,-1.0
4,60.0,0.033598741508965316,-1.0
4,61.0,0.033799066987633394,-1.0
4,62.0,0.03398928067213141,-1.0
4,63.0,0.03416984579756041,-1.0
4,64.0,0.0343412096839121,-1.0
4,65.0,0.03450380365886688,-1.0
4,66.0,0.034658043073725636,-1.0
4,67.0,0.03480432739996962,-1.0
4,68.0,0.034943040395108815,-1.0
4,69.0,0.03507455032757131,-1.0
4,70.0,0.03519921025140403,-1.0
4,71.0,0.035317358322500714,-1.0
4,72.0,0.035429318148947744,-1.0
4,73.0,0.03553539916888493,-1.0
4,74.0,0.03563589705001918,-1.0
4,75.0,0.03573109410560786,-1.0
4,76.0,0.035821259722347426,-1.0
4,77.0,0.03590665079616736,-1.0
4,78.0,0.03598751217244003,-1.0
4,79.0,0.036064077087579874,79.0
4,80.0,0.03613656760942262,80.0
4,81.0,0.036205195074149744,81.0
4,82.0,0.036270160517859806,82.0
4,83.0,0.03633165510118865,83.0
4,84.0,0.036389860525648,84.0
4,85.0,0.03644494944058965,85.0
4,86.0,0.03649708583991289,86.0
4,87.0,0.03654642544781828,87.0
4,88.0,0.03659311609307397,88.0
4,89.0,0.036637298071403326,89.0
4,90.0,0.03667910449572749,90.0
4,91.0,0.0367186616341038,91.0
4,92.0,0.03675608923529455,92.0
4,93.0,0.036791500841980525,93.0
4,94.0,0.036825004091701426,94.0
4,95.0,0.03685670100566365,95.0
4,96.0,0.03688668826560335,96.0
4,97.0,0.036915057478933665,97.0
4,98.0,0.03694189543243686,98.0
4,99.0,0.03696728433478948,99.0
4,100.0,0.036991302048228494,100.0
