"run","tick","Harmony","EquilibriumTime"
1,1.0,0.003241891352215898,-1.0
1,2.0,0.010762182724928088,-1.0
1,3.0,0.022379669928876533,-1.0
1,4.0,0.03684476632568015,-1.0
1,5.0,0.052678539843473496,-1.0
1,6.0,0.0685438884519346,-1.0
1,7.0,0.08344606771260263,-1.0
1,8.0,0.09678689378559693,-1.0
1,9.0,0.10831493093954331,-1.0
1,10.0,0.11802721815962186,-1.0
1,11.0,0.1260682155075803,-1.0
1,12.0,0.13265031979089903,-1.0
1,13.0,0.138001788531523,-1.0
1,14.0,0.14233782240852788,-1.0
1,15.0,0.14584756738428206,-1.0
1,16.0,0.1486905529743045,-1.0
1,17.0,0.1509979946204886,-1.0
1,18.0,0.15287617392111535,-1.0
1,19.0,0.15441038343294106,-1.0
1,20.0,0.15566870631149565,-1.0
1,21.0,0.15670533596968553,-1.0
1,22.0,0.15756336132344312,-1.0
1,23.0,0.15827704366158418,-1.0
1,24.0,0.15887364953615843,-1.0
1,25.0,0.15937491260457487,-1.0
1,26.0,0.1597981929262109,-1.0
1,27.0,0.16015739311917843,-1.0
1,28.0,0.16046368083512372,-1.0
1,29.0,0.1607260578027738,-1.0
1,30.0,0.16095180776247253,-1.0
1,31.0,0.16114684903395032,-1.0
1,32.0,0.16131601210994204,-1.0
1,33.0,0.16146325837174014,-1.0
1,34.0,0.16159185259841774,-1.0
1,35.0,0.16170449922622632,-1.0
1,36.0,0.1618034501696103,-1.0
1,37.0,0.16189059032538305,-1.0
1,38.0,0.1619675055532545,-1.0
1,39.0,0.16203553688365413,-1.0
1,40.0,0.16209582388726665,-1.0
1,41.0,0.16214933950182525,-1.0
1,42.0,0.16219691811233222,-1.0
1,43.0,0.16223927829085544,-1.0
1,44.0,0.16227704129759646,44.0
1,45.0,0.1623107462073471,45.0
1,46.0,0.16234086234006706,46.0
1,47.0,0.1623677995296384,47.0
1,48.0,0.1623919166518904,48.0
1,49.0,0.16241352874473172,49.0
1,50.0,0.16243291298420182,50.0
1,51.0,0.16245031372620355,51.0
1,52.0,0.1624659467812881,52.0
1,53.0,0.1624800030565536,53.0
1,54.0,0.16249265167248897,54.0
1,55.0,0.16250404264188464,55.0
1,56.0,0.16251430918153703,56.0
1,57.0,0.1625235697144479,57.0
1,58.0,0.1625319296098396,58.0
1,59.0,0.16253948269999827,59.0
1,60.0,0.16254631260628116,60.0
1,61.0,0.16255249390123333,61.0
